ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude,Longitude,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID
235,100231,I-15,NB,East Bay / MP 262.4,SPV,UT,6826,"I-15 NB @ East Bay / MP 262.4, UT",R3,262.4, 40.195879,-111.648739,10.167.7.202:161,"I-15 NB @ East Bay / MP 262.4, UT",Daktronics,27x105,NA,FALSE,FALSE,9/8/2016,NA,NA,NA,NA,NA,FALSE,NA
236,100232,I-70,WB,Salina VMS / MP 58.66,NA,SE,6810,"I-70 WB @ Salina VMS / MP 58.66, SE",R4,58.66, 38.931494,-111.819627,10.142.5.14:161,"I-70 WB @ Salina VMS / MP 58.66, SE",Daktronics,27x105,NA,FALSE,FALSE,9/8/2016,NA,NA,NA,NA,NA,FALSE,NA
237,100233,Timpanogos Hwy / 11000 N / SR-92,WB,Tamarack Dr,HLD,UT,6828,"Timpanogos Hwy / 11000 N / SR-92 WB @ Tamarack Dr, HLD",R3,4.03, 40.431944,-111.817311,10.212.23.152:2101,"(Commuter Lane Closed Flasher) Timpanogos Hwy / 11000 N / SR-92 WB @ Tamarack Dr, HLD",ADAM,Flasher,NA,FALSE,FALSE,9/8/2016,NA,NA,NA,NA,NA,FALSE,NA
238,100234,Highland Blvd,SB,Timpanogos Hwy / 11000 N / SR-92,HLD,UT,6829,"Highland Blvd SB @ Timpanogos Hwy / 11000 N / SR-92, HLD",R3,3.78, 40.433087,-111.822150,10.212.23.152:2102,"(Commuter Lane Closed Flasher) Highland Blvd SB @ Timpanogos Hwy / 11000 N / SR-92, HLD",ADAM,Flasher,NA,FALSE,FALSE,9/8/2016,NA,NA,NA,NA,NA,FALSE,NA
239,100237,Deer Valley Dr / SR-224,NB,Milepost 5.38,PKC,SU,6870,"Deer Valley Dr / SR-224 NB @ Milepost 5.38, PKC",R2,5.38,40.65389,-111.502285,10.213.6.38:5102,"Deer Valley Dr / SR-224 NB @ Milepost 5.38, PKC",Wanco,NTCIP,NA,FALSE,FALSE,1/12/2017,NA,NA,NA,NA,NA,FALSE,NA
240,100240,Park Ave / SR-224,SB,Milepost 6.26,PKC,SU,6871,"Park Ave / SR-224 SB @ Milepost 6.26, PKC",R2,6.26,40.662309,-111.512514,10.213.9.154:5102,"Park Ave / SR-224 SB @ Milepost 6.26, PKC",Wanco,NTCIP,NA,FALSE,FALSE,1/12/2017,NA,NA,NA,NA,NA,FALSE,NA
241,100239,Kearns Blvd / SR-248,EB,Park City HS / MP 0.78,PKC,SU,6872,"Kearns Blvd / SR-248 EB @ Park City HS / MP 0.78, PKC",R2,0.78,40.665853,-111.496718,10.213.9.202:5102,"Kearns Blvd / SR-248 EB @ Park City HS / MP 0.78, PKC",Wanco,NTCIP,NA,FALSE,FALSE,1/12/2017,NA,NA,NA,NA,NA,FALSE,NA
242,100241,Kearns Blvd / SR-248,WB,Milepost 1.39,PKC,SU,6873,"Kearns Blvd / SR-248 WB @ Milepost 1.39, PKC",R2,1.39,40.668434,-111.486229,10.213.9.23:5102,"Kearns Blvd / SR-248 WB @ Milepost 1.39, PKC",Wanco,NTCIP,NA,FALSE,FALSE,1/12/2017,NA,NA,NA,NA,NA,FALSE,NA
243,100242,Timpanogos Hwy / 3500 N / SR-92,EB,Digital Dr,LHI,UT,6012,"Timpanogos Hwy / 3500 N / SR-92 EB @ Digital Dr, LHI",R3,0.29, 40.431286,-111.887985,10.212.20.144:502,"(Commuter Lane Closed Flasher) Timpanogos Hwy / 3500 N / SR-92 EB @ Digital Dr, LHI",Adam,Flasher,NA,FALSE,FALSE,4/18/2017,NA,NA,NA,NA,NA,FALSE,NA
244,100243,State St / SR-9,EB,Milepost 1.42,HRC,WN,6940,"State St / SR-9 EB @ Milepost 1.42, HRC",R4,1.42, 37.161205,-113.430040,10.149.5.142:5102,"State St / SR-9 EB @ Milepost 1.42, HRC",Wanco,NTCIP,10,TRUE,TRUE,6/15/2017,6/15/2027,NA,NA,NA,NA,FALSE,NA
245,100244,I-15,NB,3200 N / MP 350.3,PLV,WB,40400,"I-15 NB @ 3200 N / MP 350.3, PLV",R1,350.3,41.320213,-112.026651,10.235.10.214.161,"I-15 NB @ 3200 N / MP 350.3, PLV",Daktronics,27x105,10,TRUE,TRUE,1/24/2018,1/1/2028,NA,NA,NA,NA,FALSE,NA
246,100290,I-15,NB,11450 S / MP 292.46,DPR,SL,41973,"I-15 NB @ 11450 S / MP 292.46, DPR",R2,292.46,40.542045,-111.893906,10.208.20.142:161,"I-15 NB @ 11450 S / MP 292.46, DPR",Daktronics,Color 96X336,10,TRUE,TRUE,7/28/2021,7/28/2031,NA,NA,NA,20083,FALSE,NA
247,100246,SR-201,WB,1300 W / MP 15.74,SLC,SL,40410,"SR-201 WB @ 1300 W / MP 15.74, SLC",R2,15.74,40.724485,-111.929729,10.205.5.126:161,"SR-201 WB @ 1300 W / MP 15.74, SLC",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2028,NA,NA,NA,NA,FALSE,NA
248,100247,I-215 S,EB,2300 E / MP 7.3,CWH,SL,40406,"I-215 S EB @ 2300 E / MP 7.3, CWH",R2,7.3,40.634239,-111.824884,10.208.11.86:161,"I-215 S EB @ 2300 E / MP 7.3, CWH",Daktronics,27x105,10,TRUE,TRUE,2/15/2018,2/15/2018,NA,NA,NA,NA,FALSE,NA
249,100248,Center St / SR-14,EB,Milepost 1,CDC,RN,40511,"Center St / SR-14 EB @ Milepost 1, CDC",R4,1,37.673917,-113.045891,10.252.10.14,"Center St / SR-14 EB @ Milepost 1, CDC",Adaptive,Wanco NTCIP,10,TRUE,TRUE,10/25/2018,10/1/2028,NA,NA,NA,NA,FALSE,NA
250,100250,US-40,NB,Milepost 1.85,NA,SU,40510,"US-40 @ Milepost 1.85, SU",R2,1.85,40.711716,-111.481927,10.213.5.226,"US-40 NB @ Milepost 1.85, SU",Daktronics,27x105,10,TRUE,TRUE,10/25/2018,10/1/2028,NA,NA,NA,NA,FALSE,NA
251,100251,(Chain-up) I-80,EB,5200 W,SLC,SL,40536,"(Chain-up) I-80 EB @ 5200 W, SLC",R2,113.67,40.770729,-112.015609,10.252.204.142,"(Chain-up) I-80 EB @ 5200 W, SLC",ADAM,Chain-up,NA,FALSE,FALSE,11/27/2018,NA,NA,NA,NA,NA,FALSE,NA
252,100252,(Chain-up) I-80,WB,Silver Creek Jct / US-40,NA,SU,40537,"(Chain-up) I-80 WB @ Silver Creek Jct / US-40, SU",R2,146.74,40.730811,-111.499883,10.252.206.14,"(Chain-up) I-80 WB @ Silver Creek Jct / US-40, SU",ADAM,Chain-up,NA,FALSE,FALSE,11/27/2018,NA,NA,NA,NA,NA,FALSE,NA
253,100253,SR-14,WB,Mammoth Creek Rd / Duck Creek Ridge Rd / MP 31.46,NA,KN,40563,"SR-14 WB @ Mammoth Creek Rd / Duck Creek Ridge Rd / MP 31.46, KN",R4,31.46,37.517839,-112.646394,10.252.10.78,"SR-14 WB @ Mammoth Creek Rd / Duck Creek Ridge Rd / MP 31.46, KN",Adaptive,Wanco NTCIP,10,TRUE,TRUE,1/10/2019,1/10/2029,NA,NA,NA,NA,FALSE,NA
254,100254,(Chain-up) US-6,WB,US-191 / MP 229.82,NA,CC,40487,"US-6 @ US-191 / MP 229.82, CC",R4,229.82,39.727085,-110.867333,10.137.5.26,"(Chain-up) US-6 WB @ US-191 / MP 229.82, CC",ADAM,Chain-up,NA,FALSE,FALSE,1/10/2019,NA,NA,4460,Castle Gate,NA,FALSE,NA
255,100255,(Chain-up) US-6,EB,Tie Fork Rest Area / MP 202.05,NA,UT,10323,"US-6 EB @ Tie Fork Rest Area / MP 202.05, UT",R3,202.05,39.951698,-111.223458,10.167.11.14,"(Chain-up) US-6 EB @ Tie Fork Rest Area / MP 202.05, UT",ADAM,Chain-up,NA,FALSE,FALSE,1/10/2019,NA,NA,NA,NA,NA,FALSE,NA
256,100256,I-70,WB,Milepost 25.15,JSP,SE,40564,"I-70 WB @ Milepost 25.15, SE",R4,25.15,38.616162,-112.229872,10.252.10.206,"I-70 WB @ Milepost 25.15, SE",Adaptive,Wanco NTCIP,10,TRUE,TRUE,1/10/2019,1/10/2029,NA,4464,Richfield,NA,FALSE,NA
257,100261,I-15,SB,Milepost 95.3,NA,RN,40784,"I-15 SB @ SR-20 / MP 95.3, RN",R4,95.3,38.081855,-112.680158,10.252.5.142,"I-15 SB @ SR-20 / MP 95.3, RN",Adaptive,Wanco NTCIP,10,TRUE,TRUE,6/20/2019,6/1/2029,NA,NA,NA,NA,FALSE,NA
258,100264,(Chain-Up) I-80,EB,1900 E / MP 126,SLC,SL,10368,"I-80 EB @ 1900 E / MP 126, SLC",R2,126,40.717183,-111.836386,10.202.18.152,"(Chain-Up) I-80 EB @ 1900 E / MP 126, SLC",ADAM,Chain-up,NA,FALSE,FALSE,6/20/2019,NA,NA,NA,NA,NA,FALSE,NA
259,100265,(Chain-Up) I-215 E,NB,3100 S / MP 1.62,MCK,SL,10225,"I-215 E NB @ 3100 S / MP 1.62, MCK",R2,1.62,40.703297,-111.794871,10.202.18.16,"(Chain-Up) I-215 E NB @ 3100 S / MP 1.62, MCK",ADAM,Chain-up,NA,FALSE,FALSE,6/20/2019,NA,NA,NA,NA,NA,FALSE,NA
260,100267,I-15,SB,800 N / MP 364.92,BRC,BE,40919,"I-15 SB @ 800 N / MP 364.92, BRC",R1,364.92,41.525085,-112.065105,10.237.5.50,"I-15 SB @ 800 N / MP 364.92, BRC",Daktronics,27x105,10,TRUE,TRUE,10/3/2019,10/3/2029,NA,NA,NA,NA,FALSE,NA
