ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude.x,Longitude.x,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID,X,Latitude.y,Longitude.y
137,612,Center St,WB,900 W,ORM,UT,6275,"Center St WB @ 900 W, ORM",R3,NA, 40.297251,-111.716711,10.163.5.238:200,"Center St WB @ 900 W, ORM",NA,NA,NA,FALSE,FALSE,3/1/2011,NA,NA,NA,NA,NA,FALSE,NA,612,40.299393,-111.722442
138,613,University Pkwy / SR-265,WB,450 W,ORM,UT,5873,"University Pkwy / SR-265 WB @ 450 W, ORM",R3,1.13, 40.273740,-111.706248,10.164.5.122:200,"University Pkwy / SR-265 WB @ 450 W, ORM",NA,NA,NA,FALSE,FALSE,3/1/2011,NA,NA,NA,NA,NA,FALSE,NA,613,40.27617,-111.707288
139,614,Center St / SR-114,WB,600 W,PVO,UT,5858,"Center St / SR-114 WB @ 600 W, PVO",R3,0.1, 40.233879,-111.669421,10.166.6.242:200,"Center St / SR-114 WB @ 600 W, PVO",NA,NA,NA,FALSE,FALSE,3/1/2011,NA,NA,NA,NA,NA,FALSE,NA,614,40.233662,-111.678162
140,625,Pioneer Crossing / SR-145,EB,700 E,LHI,UT,30585,"Pioneer Crossing / SR-145 EB @ 700 E, LHI",R3,4.32, 40.374925,-111.837183,10.168.5.190:161,"Pioneer Crossing / SR-145 EB @ 700 E, LHI",NA,NA,NA,FALSE,FALSE,12/1/2010,NA,NA,NA,NA,NA,FALSE,NA,625,40.374724,-111.83586
146,100201,TOC / Portable,NA,Wanco # 47,NA,NA,5847,TOC / Portable Wanco # 47,TOC,NA,NA,NA,10.252.7.14:5102,TOC / Portable Wanco # 47,Wanco,Adaptive,NA,FALSE,FALSE,9/1/2015,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
152,100131,Provo Canyon Rd / US-189,WB,Mouth of Provo Canyon,PVO,UT,16015,"Provo Canyon Rd / US-189 WB @ Mouth of Provo Canyon, PVO",R3,7.61, 40.315189,-111.653752,10.166.9.226:161,"Provo Canyon Rd / US-189 WB @ Mouth of Provo Canyon, PVO",NA,NA,NA,FALSE,FALSE,2/1/2012,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
153,100133,I-15,SB,100 E / 950 N / MP 280.86,LHI,UT,6090,"I-15 SB @ 100 E / 950 N / MP 280.86, LHI",R3,280.86, 40.399600,-111.847767,10.212.12.38:161,"I-15 SB @ 100 E / 950 N / MP 280.86, LHI",NA,NA,NA,FALSE,FALSE,6/1/2012,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
154,100134,Bangerter Hwy / SR-154,NB,2400 S,WVC,SL,6277,"Bangerter Hwy / SR-154 NB @ 2400 S, WVC",R2,20.62, 40.719872,-111.985970,10.206.6.56:161,"Bangerter Hwy / SR-154 NB @ 2400 S, WVC",NA,NA,NA,FALSE,FALSE,7/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100134,40.719945,-111.985765
155,100135,I-15,SB,200 N / 1700 W / MP 274.52,LDN,UT,16130,"I-15 SB @ 200 N / 1700 W / MP 274.52, LDN",R3,274.52, 40.341636,-111.756840,10.162.12.38:161,"I-15 SB @ 200 N / 1700 W / MP 274.52, LDN",NA,NA,NA,FALSE,FALSE,8/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100135,40.341762,-111.75664
156,100136,I-15,NB,400 N / 2000 W / 274.77,LDN,UT,6129,"I-15 NB @ 400 N / 2000 W / MP 274.77, LDN",R3,274.77, 40.344478,-111.759993,10.162.12.50:161,"I-15 NB @ 400 N / 2000 W / MP 274.77, LDN",NA,NA,NA,FALSE,FALSE,8/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100136,40.344369,-111.759809
157,100137,SR-201,WB,3600 W / MP 13.26,SLC,SL,31585,"SR-201 WB @ 3600 W / MP 13.26, SLC",R2,13.26, 40.726216,-111.977177,10.206.6.50:161,"SR-201 WB @ 3600 W / MP 13.26, SLC",NA,NA,NA,FALSE,FALSE,9/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100137,40.727991,-111.977327
