IntId,RwisLocationIntId,ExtId,AgencyIdentifier,OutsideAgencyIdentifier,ControllerMakerId,Model,IsActive,SerialNumber,CommunicationTypeId,CommunicationNumber,PowerSourceId,Comments,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,DateCreated,LastUpdated,NumberOfPavementSensors,AtmosphericFile,SurfaceFile,DetailViewUrl
156,239,153,UTSSU,UTSSU,3,CSI,1,NULL,4,NULL,1,NULL,NULL,NULL,-111493380,38783190,5,31/10/2018 11:16:13 AM,31/10/2018 11:16:13 AM,NULL,815,816,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utssu
157,240,154,UTTP4,UTTP4,3,CSI,1,NULL,4,166.154.68.104,1,NULL,40.1945,-110.9621,-110962100,40194500,5,03/06/2019 05:22:24 PM,03/06/2019 05:22:24 PM,NULL,817,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp4
158,243,155,UTLAM,UTLAM,3,CSI,1,NULL,3,10.202.10.112,1,NULL,40.7397,-111.673,-111673000,40739700,5,17/06/2019 04:15:58 PM,17/06/2019 04:15:58 PM,1,818,819,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlam
159,244,156,UTFMC,UTFMC,3,CSI,1,NULL,2,10.202.23.40,2,NULL,40.75757,-111.83607,-111836070,40757570,5,27/06/2019 05:36:09 PM,18/05/2020 08:22:36 AM,1,820,821,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utfmc
160,245,157,UTMRN,UTMRN,3,CSI,1,NULL,4,166.241.153.251,2,NULL,40.69837,-111.28088,-111280880,40698370,5,16/07/2019 05:24:11 PM,16/07/2019 05:24:11 PM,1,822,823,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmrn
161,246,158,UTTP5,UTTP5,3,CSI,1,NULL,4,63.42.58.79,1,NULL,37.7157,-112.8473,-112847300,37715700,5,18/07/2019 04:26:43 PM,18/07/2019 04:26:43 PM,NULL,824,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp5
162,247,159,UTTP6,UTTP6,3,CSI,1,NULL,4,166.148.71.205,1,NULL,39.8785,-111.5212,-111521200,39878500,5,07/08/2019 10:03:40 AM,08/08/2019 05:44:49 PM,NULL,825,NULL,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=uttp6
163,248,160,UT123,UT123,3,CSI,1,NULL,4,63.42.105.243,0,NULL,39.526,-110.5744,-110574400,39526000,5,14/08/2019 04:18:27 PM,15/08/2019 08:16:35 AM,NULL,826,827,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=UT123
164,249,161,UTLMP,UTLMP,3,CSI,1,NULL,4,166.148.71.204,1,NULL,39.5944,-111.9161,-111916100,39594400,5,19/08/2019 10:14:04 AM,19/08/2019 10:14:04 AM,1,828,829,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utlmp
165,250,162,UTRKY,UTRKY,3,CSI,1,NULL,4,166.161.187.10,1,NULL,39.9371,-111.8112,-111811200,39937100,5,20/08/2019 12:51:07 PM,20/08/2019 12:51:07 PM,1,830,831,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utrky
166,251,163,UTFRT,UTFRT,3,CSI,1,NULL,4,NULL,1,NULL,40.20525,-110.77125,-110771250,40205250,5,23/09/2019 08:31:03 AM,23/09/2019 08:31:03 AM,1,832,833,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utfrt
