IntId,RwisLocationIntId,ExtId,AgencyIdentifier,OutsideAgencyIdentifier,ControllerMakerId,Model,IsActive,SerialNumber,CommunicationTypeId,CommunicationNumber,PowerSourceId,Comments,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,DateCreated,LastUpdated,NumberOfPavementSensors,AtmosphericFile,SurfaceFile,DetailViewUrl
14,14,14,15-20010-V26,ut26,3,CSI,1,NULL,6,166.154.68.86,0,NULL,39.4097,-112.0517,-112052000,39410000,5,13/04/2009 02:03:16 PM,14/10/2013 02:15:07 PM,2,23,24,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut26
15,15,15,15-18364-S17,utsci,3,CSI,1,NULL,6,166.154.66.105,0,NULL,39.2033,-112.1734,-112173000,39203000,5,13/04/2009 02:03:16 PM,14/10/2013 02:15:07 PM,1,25,26,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utsci
16,16,16,15-13626-S10,utdog,3,CSI,1,NULL,6,166.241.179.173,0,NULL,38.6358,-112.6101,-112610000,38636000,5,13/04/2009 02:03:16 PM,14/10/2013 02:06:42 PM,1,27,28,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utdog
17,17,17,15-4220-S15,utblk,3,CSI,1,NULL,1,435-867-5985,0,NULL,37.4821,-113.22,-113220000,37482000,5,13/04/2009 02:03:16 PM,14/10/2013 02:04:18 PM,1,29,30,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utblk
18,18,18,70-748-S8,ccs,3,CSI,1,NULL,6,166.154.68.113,0,NULL,38.5912,-112.494,-112494000,38591000,5,13/04/2009 02:03:16 PM,20/02/2015 01:20:39 PM,1,31,32,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ccs
19,19,19,70-9302,fre,3,CSI,1,NULL,6,166.161.134.155,0,NULL,38.7787,-111.3166,-111317000,38779000,5,13/04/2009 02:03:16 PM,14/10/2013 02:24:22 PM,1,33,34,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=fre
20,20,20,70-12317,gho,3,CSI,1,NULL,6,166.161.134.156,0,NULL,38.8658,-110.8061,-110806000,38866000,5,13/04/2009 02:03:16 PM,14/10/2013 02:24:22 PM,1,35,36,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=gho
21,21,21,70-13707,rtb,3,CSI,1,NULL,4,166.140.123.18,0,NULL,38.9037,-110.562,-110562000,38904000,5,13/04/2009 02:03:16 PM,15/06/2016 04:11:34 PM,1,37,38,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=rtb
22,22,22,,wpoe,3,CSI,1,NULL,2,168.178.119.43,0,NULL,40.7495,-113.991,-113991000,40750000,5,13/04/2009 02:03:16 PM,14/10/2013 02:38:16 PM,1,39,40,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=wpoe
23,23,23,80-5482-S14,utgrs,3,CSI,1,NULL,6,166.154.68.102,0,NULL,40.7616,-113.0104,-113010000,40762000,5,13/04/2009 02:03:16 PM,14/10/2013 02:26:34 PM,1,41,42,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utgrs
24,24,24,80-9862-V9,ut9-2,3,CSI,1,,3,,2,,40.6924,-112.2644,-112264400,40692400,5,13/04/2009 02:03:16 PM,13/11/2020 01:48:13 PM,1,43,44,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=ut9
26,26,26,80-12795-V5,ut5,3,CSI,1,NULL,2,10.202.7.180,0,NULL,40.712,-111.802,-111802000,40712000,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,45,46,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut5
27,27,27,,utqry,3,CSI,1,NULL,2,10.202.9.100,2,NULL,40.7258,-111.7681,-111765600,40728100,5,13/04/2009 02:03:16 PM,02/06/2014 04:00:54 PM,1,47,48,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utqry
29,29,29,80-13888-V3,ut3,3,CSI,1,NULL,2,10.202.10.100,0,NULL,40.7528,-111.6248,-111625000,40753000,5,13/04/2009 02:03:16 PM,14/10/2013 02:33:05 PM,1,51,52,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut3
30,30,30,80-14427-S7,kij,3,CSI,1,NULL,2,10.213.5.15,0,NULL,40.7275,-111.5426,-111543000,40727000,5,13/04/2009 02:03:16 PM,14/10/2013 02:26:34 PM,1,53,54,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=kij
31,31,31,80-14686-S9,utsvc,3,CSI,1,NULL,1,435-940-1971,0,NULL,40.732,-111.4983,-111498000,40732000,5,13/04/2009 02:03:16 PM,14/10/2013 02:38:16 PM,1,55,56,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utsvc
32,32,32,80-19120-V1,ut1,3,CSI,1,NULL,6,166.154.68.92,0,NULL,41.1952,-111.114,-111113970,41195220,5,13/04/2009 02:03:16 PM,20/07/2016 09:29:21 AM,1,57,58,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut1
33,33,33,,utckh,3,CSI,1,NULL,6,166.154.68.94,0,NULL,41.9113,-112.6052,-112605200,41911300,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,59,60,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utckh
34,34,34,84-3045-S12,utwtv,3,CSI,1,NULL,4,166.248.124.93,1,NULL,41.8101,-112.3394,-112339000,41810000,5,13/04/2009 02:03:16 PM,01/06/2017 02:31:10 PM,1,61,62,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utwtv
35,35,35,84-8928-S1,pwr,3,CSI,1,NULL,6,166.241.189.1,0,NULL,41.1379,-111.8868,-111887000,41138000,5,13/04/2009 02:03:16 PM,14/10/2013 02:38:16 PM,1,63,64,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=pwr
37,37,37,,utlgp,3,CSI,1,NULL,2,"10.203,9.28",0,NULL,40.908,-111.915,-111915000,40908000,5,13/04/2009 02:03:16 PM,09/03/2011 02:59:53 PM,2,65,66,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utlgp
38,38,38,,uts16,3,CSI,1,NULL,6,166.154.68.81,0,NULL,41.421,-111.051,-111051000,41421000,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,67,68,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=uts16
39,39,39,20-1011-S16,utr20,3,CSI,1,NULL,6,166.154.68.79,0,NULL,38.0304,-112.5307,-112531000,38030000,5,13/04/2009 02:03:16 PM,14/10/2013 03:06:30 PM,1,69,70,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utr20
40,40,40,31-1171-C7,sky,3,CSI,1,NULL,4,166.154.68.80,1,NULL,39.636,-111.329,-111329000,39636000,5,13/04/2009 02:03:16 PM,29/08/2017 02:31:10 PM,NULL,71,72,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=sky
41,41,41,35-971-C3,kms,3,CSI,1,NULL,1,435-783-6632,0,NULL,40.557,-111.135,-111135000,40557000,5,13/04/2009 02:03:17 PM,15/10/2013 01:19:30 PM,1,161,286,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=kms
42,42,42,89-48972-C4,lgs,3,CSI,1,NULL,1,435-946-8248,0,NULL,41.953,-111.492,-111492000,41953000,5,13/04/2009 02:03:17 PM,15/10/2013 01:19:30 PM,1,162,163,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=lgs
43,43,43,89-1266-S3,swh,3,CSI,1,NULL,2,10.237.5.192,2,NULL,41.584,-111.976,-111976000,41584000,5,13/04/2009 02:03:16 PM,21/05/2018 05:34:06 PM,1,73,74,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=swh
44,44,44,111-416-C1,bac,3,CSI,1,NULL,6,166.154.68.87,0,NULL,40.6352,-112.0559,-112056000,40635000,5,13/04/2009 02:03:16 PM,14/10/2013 02:56:02 PM,1,75,76,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=bac
45,45,45,167-688-S2,tpr,3,CSI,1,NULL,4,166.161.134.157,0,NULL,41.2058,-111.8166,-111817000,41206000,5,13/04/2009 02:03:16 PM,14/10/2013 03:06:30 PM,1,77,78,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=tpr
46,46,46,191-6214,utmco,3,CSI,1,NULL,4,166.154.68.104,0,NULL,37.7561,-109.3977,-109398000,37756000,5,13/04/2009 02:03:16 PM,11/10/2017 11:46:25 AM,1,79,80,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utmco
47,47,47,,utics,3,CSI,1,NULL,6,166.154.68.82,0,NULL,39.8857,-110.7479,-110747900,39885700,5,13/04/2009 02:03:16 PM,14/10/2013 03:13:03 PM,1,81,82,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utics
48,48,48,,ut248,3,CSI,1,NULL,6,166.154.68.85,0,NULL,40.6338,-111.3849,-111384900,40633800,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,83,84,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut248
49,49,49,x-C5,kcwu1,3,CSI,1,NULL,4,166.154.58.91,1,NULL,39.074,-113.638,-113638000,39074000,5,13/04/2009 02:03:17 PM,17/12/2014 05:08:17 PM,0,575,576,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=kcwu1
50,50,50,6-19290-S6,rdn,3,CSI,1,NULL,2,10.167.10.168,1,NULL,39.989,-111.37,-111370000,39989000,5,13/04/2009 02:03:16 PM,30/08/2017 09:09:30 AM,1,85,86,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=rdn
51,51,51,6-21039-C6,utsld,3,CSI,1,NULL,2,10.167.11.52,2,NULL,39.928,-111.083,-111083000,39928000,5,13/04/2009 02:03:16 PM,09/10/2017 01:18:56 PM,1,87,88,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utsld
52,52,52,,utmfs,3,CSI,1,NULL,6,166.154.68.84,0,NULL,40.6529,-111.4569,-111456900,40652900,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,89,90,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utmfs
53,53,53,,utheb,3,CSI,1,NULL,6,166.154.68.83,0,NULL,40.5636,-111.4288,-111428800,40563600,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,91,92,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utheb
54,54,54,40-8150-S19,utstv,3,CSI,1,NULL,3,172.31.146.157,0,NULL,40.173,-110.493,-110493000,40173000,5,13/04/2009 02:03:16 PM,30/10/2009 03:44:24 PM,1,93,94,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utstv
55,55,55,,utpr1,3,CSI,1,,4,166.248.124.99,1,,0.0001,0.0001,1,1,5,13/04/2009 02:03:17 PM,29/07/2021 11:57:37 AM,0,95,96,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpr1
56,56,56,SR30 - agency #?,ut30,3,CSI,1,NULL,6,166.241.179.181,0,NULL,41.779,-112.0218,-112021800,41779000,5,13/04/2009 02:03:17 PM,09/03/2011 03:01:58 PM,1,158,159,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut30
58,58,58,,utpwd,3,CSI,1,NULL,5,72.250.214.254,0,NULL,41.3699,-111.764,-111764000,41369900,5,13/04/2009 02:03:17 PM,29/12/2015 06:54:01 AM,1,97,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpwd
59,59,59,I-80 @ mp 1 - agency #?,ut32,3,CSI,1,NULL,6,166.241.189.3,0,NULL,40.745,-114.0221,-114022100,40745000,5,13/11/2009 10:03:05 PM,09/11/2012 10:18:54 AM,NULL,144,251,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut32
60,60,60,I-80 @ mp 29 - agency #?,ut33,3,CSI,1,NULL,6,166.154.68.101,0,NULL,40.7313,-113.4992,-113499200,40731300,5,13/11/2009 10:07:19 PM,09/11/2012 10:19:18 AM,NULL,145,252,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut33
61,61,61,I-80 @ mp 78 - agency #?,ut31,3,CSI,1,NULL,6,166.154.68.96,0,NULL,40.7404,-112.624,-112624000,40740400,5,13/11/2009 10:10:48 PM,09/11/2012 10:19:38 AM,NULL,146,253,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut31
62,62,62,SR-12 @ Boulder Summit - agency #?,NULL,3,CSI,1,NULL,6,166.154.66.109,0,NULL,-111.3269,38.0432,-111326900,38043200,5,13/11/2009 10:49:40 PM,15/10/2013 01:19:30 PM,NULL,153,278,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utbld
63,63,63,SR-30 @ Curlew - agency #?,NULL,3,CSI,1,NULL,6,166.154.66.107,0,NULL,41.938,-113.086,-113086000,41938000,5,13/11/2009 10:54:58 PM,15/10/2013 01:19:30 PM,NULL,154,192,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utcur
64,64,64,SR95 @ Salvation Knoll - agency #?,NULL,3,CSI,1,NULL,6,166.154.66.108,0,NULL,37.5647,-109.8186,-109818600,37564700,5,13/11/2009 10:57:52 PM,15/10/2013 01:19:30 PM,NULL,155,255,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utsal
66,66,66,UDOT,uteur,3,CSI,1,NULL,4,166.241.179.180,0,NULL,39.960353,-112.101387,-112101387,39960353,5,24/02/2011 02:23:17 PM,15/10/2013 01:19:30 PM,0,190,279,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=uteur
67,67,67,UDOT,utpcy,3,CSI,1,NULL,0,10.166.9.180,0,NULL,40.3341,-111.6133,-111613300,40334100,5,24/02/2011 03:28:38 PM,15/10/2013 01:19:30 PM,0,194,248,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpcy
70,69,68,US-6,uthlp,3,CSI,1,NULL,2,10.138.5.144,2,NULL,39.694,-110.8628,-110862800,39694000,5,28/02/2011 02:08:31 PM,20/06/2016 04:19:58 PM,0,193,283,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=uthlp
72,71,71,utpr2,utpr2,3,CSI,1,,4,63.42.190.2,1,,39.75584,-110.9912,-110991200,39755840,5,28/02/2011 04:15:24 PM,01/07/2021 04:23:37 PM,0,188,281,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpr2
73,72,72,Portable RWIS 3,utpr3,3,CSI,1,,4,166.154.174.246,1,,40.62345,-111.4962,-111496200,40623450,5,01/03/2011 01:04:17 PM,20/12/2021 04:15:01 PM,0,189,191,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpr3
74,73,73,Pioneer Crossing ,utpcr,3,CSI,1,NULL,2,10.212.15.16,1,NULL,40.3725,-111.9161,-111916100,40372500,5,01/03/2011 01:16:13 PM,14/10/2013 02:42:30 PM,0,205,275,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpcr
75,74,74,I-84 @ Devils Slide,NULL,3,CSI,1,NULL,4,166.140.209.133,0,NULL,41.0568,-111.5322,-111532200,41056800,5,16/11/2011 03:40:30 PM,21/01/2015 03:10:07 PM,1,196,197,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utdev
76,75,75,UTDAN,UTDAN,3,CSI,1,NULL,4,166.148.86.240,1,NULL,40.3033,-111.2578,-111257800,40303300,5,16/11/2011 03:46:56 PM,26/09/2017 01:28:48 PM,1,199,198,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utdan
77,76,76,Portable RWIS 4,utpr4,3,CSI,1,NULL,4,166.154.174.242,1,NULL,40.2415,-111.177,-112351700,40469400,5,24/11/2011 07:30:44 AM,02/08/2018 02:50:59 PM,0,201,282,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpr4
78,77,77,Portable RWIS 5,utpr5,3,CSI,1,,4,166.253.125.135,1,,38.83233,-112.48114,-112481140,38832330,5,30/11/2011 04:18:32 PM,26/07/2021 02:54:20 PM,0,207,373,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpr5
79,78,78,I-15 @ Beaver Ridge,NULL,3,CSI,1,NULL,2,10.136.6.52,1,NULL,38.14989,-112.61045,-112610450,38149890,5,09/12/2011 08:37:26 AM,23/02/2016 12:59:44 PM,0,208,209,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utbvr
80,79,79,Portable Traffic #1,utpt1,3,CSI,1,,4,166.140.152.92,1,,37.7652,-113.0554,-113055400,37765200,5,27/12/2011 02:22:12 PM,20/04/2021 04:31:52 PM,0,340,886,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpt1
81,80,80,Portable Traffic #2,utpt2,3,CSI,1,,4,166.140.152.254,1,,37.1618,-113.3884,-113388400,37161800,5,27/12/2011 02:23:35 PM,09/06/2021 09:34:33 AM,0,341,886,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utpt2
82,81,81,SR-143 @ Brian Head,BHCU1,3,CR1000,1,NULL,4,166.154.68.93,1,NULL,37.6628,-112.8375,-112837500,37662800,5,28/09/2012 11:12:04 AM,28/09/2012 02:48:47 PM,1,246,247,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=bhcu1
83,82,82,SR-85 @ Juniper,NULL,3,CR1000,1,NULL,2,10.207.6.100,1,NULL,40.48607,-111.99415,-111994150,40486070,5,01/11/2012 10:04:52 AM,23/10/2017 11:18:27 AM,1,257,259,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=UTJUN
85,84,83,Riverdale Rd,Riverdale Rd,3,CR1000,1,NULL,2,10.235.5.34,2,NULL,41.1748,-112.0092,-112009200,41174800,5,11/01/2013 02:50:38 PM,11/01/2013 03:18:28 PM,1,262,261,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utriv
86,85,84,I-84 @ Dannon Way,NULL,3,CR1000,1,NULL,4,166.154.68.103,1,NULL,40.58227,-112.0304,-112030400,40582200,5,01/03/2013 04:29:43 PM,23/02/2016 01:01:23 PM,1,263,264,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utdwy&product=roads
87,86,85,I-15 @ Orem,utorm,3,CR1000,1,NULL,4,NULL,1,NULL,40.31918,-111.72648,-111726480,40319180,5,15/03/2013 08:57:01 AM,23/02/2016 01:01:23 PM,1,266,268,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=UTORM&product=roads
88,87,86,I-15 @ Provo,NULL,3,CR1000,1,NULL,4,NULL,1,NULL,40.20438,-111.65569,-111655690,40204380,5,15/03/2013 09:01:18 AM,23/02/2016 01:00:31 PM,1,269,271,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=UTPRV&product=roads
89,88,87,utfsh,utfsh,3,CSI,1,NULL,0,NULL,0,NULL,38.56391,-112.43374,-112433740,38563910,5,22/09/2013 01:52:52 PM,27/01/2014 08:45:22 AM,1,272,367,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utfsh
90,89,88,utasg,utasg,3,CSI,1,NULL,4,NULL,0,NULL,40.404631,-111.604574,-111604574,40404631,5,22/09/2013 02:14:52 PM,09/11/2015 09:46:08 AM,NULL,287,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=UTASG
91,90,89,snd,snd,3,unknown,1,NULL,4,NULL,0,NULL,NULL,NULL,-111593964,40368386,5,15/10/2013 01:25:49 PM,09/11/2015 09:45:35 AM,NULL,274,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SND
92,100,92,Wayne Summit,utway,3,CSI,1,NULL,4,NULL,1,NULL,38.450296,-111.823236,-111823236,38450296,5,15/10/2013 01:30:17 PM,05/11/2015 04:54:34 PM,NULL,284,285,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utway
93,91,90,bunut,bunut,3,unknown,1,NULL,0,NULL,0,NULL,NULL,NULL,-111563976,40314757,5,15/10/2013 01:30:17 PM,09/11/2015 09:47:07 AM,NULL,276,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=BUNUT
94,94,91,snm,NULL,3,unknown,1,NULL,3,NULL,0,NULL,NULL,NULL,-111594479,40374406,5,15/10/2013 01:30:17 PM,09/11/2015 09:48:02 AM,NULL,277,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SNM
95,95,93,SR-190 @ Cardiff,utcdf,3,CSI,1,NULL,4,NULL,2,NULL,40.6494,-111.6486,-111648600,40649400,5,05/12/2013 11:20:43 AM,25/01/2014 10:05:36 AM,NULL,335,336,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utcdf
96,116,94,csc,csc,3,unknown,1,NULL,0,NULL,0,NULL,40.312604,-111.588704,NULL,NULL,NULL,25/01/2014 10:23:12 AM,25/01/2014 10:54:39 AM,NULL,372,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=csc
97,149,95,I-80 @ Coalville,NULL,3,CSI,1,NULL,2,10.213.9.28,2,NULL,40.91775,-111.40721,-111407210,40917750,5,02/06/2014 04:12:42 PM,02/06/2014 04:12:42 PM,1,533,534,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utcol
98,150,96,I-80 @ Wanship,utwan,3,CSI,1,NULL,2,10.213.9.16,0,NULL,40.81295,-111.40141,-111401410,40812950,5,02/06/2014 04:15:45 PM,02/06/2014 04:15:45 PM,1,535,536,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utwan
99,151,97,I-15 @ Beer Creek,utbrc,3,CSI,1,NULL,2,10.167.8.168,1,NULL,40.073,-111.7151,-111715100,40073000,5,09/06/2014 11:05:39 AM,09/06/2014 11:05:39 AM,1,532,542,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utbrc
100,153,98,uttpd,uttpd,3,CSI,1,NULL,2,10.214.5.64,2,NULL,40.6229,-111.7504,-111750400,40622900,5,18/08/2014 03:15:08 PM,24/02/2016 09:01:09 AM,1,560,561,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=UTTPD&product=roads
101,154,99,utstr,utstr,3,CSI,1,NULL,2,10.214.5.204,2,NULL,40.6341,-111.7235,-111723500,40634100,5,18/08/2014 03:19:28 PM,18/08/2014 03:19:28 PM,1,558,559,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=UTSTR
103,98,100,utjps,utjps,3,CSI,1,NULL,1,10.205.17.16,1,NULL,40.33741,-112.57295,-112572950,40337410,5,24/11/2014 08:37:48 AM,24/11/2014 08:37:48 AM,NULL,567,568,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utjps
104,157,101,SR-65 @ Big Mountain Pass,utbig,3,CSI,1,NULL,4,166.140.120.237,1,NULL,40.82794,-111.65448,-111654480,40827940,5,08/12/2014 01:03:46 PM,09/12/2014 04:48:22 PM,1,569,570,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utbig
105,159,102,SR-35 @ Wolf Creek Pass,NULL,3,CSI,1,NULL,4,166.154.68.82,1,NULL,40.4872,-111.0344,-111034400,40487200,5,05/01/2015 03:42:14 PM,05/01/2015 03:42:14 PM,1,577,578,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utwlf
106,163,103,SR-153 near Puffer Lake,utpfl,3,CSI,1,NULL,4,166.241.179.174,1,NULL,38.32091,-112.37263,-112372630,38320910,5,19/01/2015 10:55:53 AM,19/01/2015 10:55:53 AM,1,596,597,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpfl
107,164,104,I-70 @ SR-24,utsla,3,CSI,1,NULL,4,166.154.68.83,1,NULL,38.87622,-111.95875,-111958750,38876220,5,19/01/2015 10:59:57 AM,19/01/2015 10:59:57 AM,1,598,599,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=utsla
108,165,105,SR-72 @ Hogan Pass,uthgp,3,CSI,1,NULL,4,166.140.123.10,1,NULL,38.58288,-111.47778,-111477780,38582880,5,19/01/2015 05:28:04 PM,19/01/2015 05:28:04 PM,NULL,600,601,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=UTHGP
109,166,106,SR-210 @ Powerhouse,utplc,3,CSI,1,NULL,2,10.201.15.88,2,NULL,40.57096,-111.74374,-111743740,40570960,5,22/01/2015 09:20:46 AM,22/01/2015 09:20:46 AM,1,602,603,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utplc
110,167,107,SR-210 @ White Pine,UTWLC,3,CSI,1,NULL,2,10.201.15.204,2,NULL,40.576,-111.6815,-111681500,40576000,5,26/01/2015 03:05:09 PM,18/03/2015 01:54:15 PM,1,604,605,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=UTWLC
111,168,108,SR-150 @ Bald Mountain Pass,NULL,3,CSI,1,NULL,4,166.148.71.204,1,NULL,40.6872,-110.9045,-110904500,40687200,5,05/02/2015 12:20:46 PM,05/02/2015 03:37:00 PM,NULL,606,607,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utbmp
112,170,109,I-15 @ Beaver,utbev,3,CSI,1,NULL,2,10.136.5.28,0,NULL,38.2934,-112.651,-112651000,38293400,5,02/03/2015 04:54:45 PM,03/03/2015 08:46:03 AM,1,614,615,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=UTBEV&product=roads
113,172,110,I-15 @ Wildcat,NULL,3,CSI,1,NULL,2,10.136.5.168,1,NULL,38.4212,-112.6492,-112649200,38421200,5,12/03/2015 11:57:37 AM,12/03/2015 12:01:07 PM,1,620,621,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=UTWCR
114,197,111,uttp1,uttp1,3,CSI,0,NULL,4,166.140.127.235,1,NULL,41.56972,-111.96803,-111968030,41569720,5,24/08/2015 12:07:18 PM,28/10/2016 12:08:04 PM,0,718,719,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=UTTP1
115,198,112,iff,NULL,3,unknown,1,NULL,0,NULL,0,NULL,40.595,-111.6519,-111651900,40595000,5,30/10/2015 12:50:29 PM,09/11/2015 09:13:00 AM,NULL,725,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=IFF
